Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32021214,"Maximum Harm: The Tsarnaev Brothers, the FBI, and the Road to the Marathon Bombing",Michele R. McPhee,"McPhee, Michele R.",,"=""1611688493""","=""9781611688498""",0,4.06,ForeEdge,Hardcover,340,2017,2017,,2023/04/24,currently-reading,currently-reading (#1),currently-reading,,,,1,0
59069460,The Girl Before,J.P. Delaney,"Delaney, J.P.",,"=""1529410509""","=""9781529410501""",3,3.70,Quercus,Paperback,0,2020,2017,2024/10/10,2023/12/30,,,read,,,,1,0
9598224,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""0241951445""","=""9780241951446""",3,4.00,Penguin Books,Paperback,141,2011,1962,2024/10/06,2024/10/04,,,read,,,,1,0
40543864,Feminism,Deborah Cameron,"Cameron, Deborah",,"=""1781258376""","=""9781781258378""",0,4.36,PROFILE BOOKS,Paperback,160,2018,2018,,2024/10/03,to-read,to-read (#61),to-read,,,,0,0
8031168,"Delusions of Gender: How Our Minds, Society, and Neurosexism Create Difference",Cordelia Fine,"Fine, Cordelia",,"=""0393068382""","=""9780393068382""",0,4.08,W.W. Norton & Company,Hardcover,338,2010,2010,,2024/10/03,to-read,to-read (#60),to-read,,,,0,0
44778173,The Squiggly Career,Helen Tupper,"Tupper, Helen",,"=""0241385849""","=""9780241385845""",0,3.95,Portfolio Penguin,Paperback,240,2022,2020,,2024/10/03,to-read,to-read (#59),to-read,,,,0,0
12840503,The Exorcist,William Peter Blatty,"Blatty, William Peter",,"=""0552166774""","=""9780552166775""",4,4.20,Corgi Books,Paperback,378,2011,1971,2024/10/03,2024/09/29,,,read,,,,1,0
34043643,"The Last Mrs. Parrish (Mrs. Parrish, #1)",Liv Constantine,"Constantine, Liv",,"=""0062688162""","=""9780062688163""",0,3.97,Harper Large Print,Paperback,560,2017,2017,,2024/09/29,to-read,to-read (#58),to-read,,,,0,0
62698525,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1804940879""","=""9781804940877""",5,4.21,Penguin,Paperback,384,2023,2022,2024/09/28,2024/09/23,,,read,,,,1,0
49098237,Written in Bone: Hidden Stories in What We Leave Behind,Sue Black,"Black, Sue",,"=""0857526901""","=""9780857526908""",4,4.31,Doubleday,Hardcover,368,2020,2020,2024/09/22,2024/06/02,books-from-harry,books-from-harry (#4),read,,,,1,0
